# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,carrier,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120228,unknown,0,0,0,4,0,0,0,0
20120228,o2,1,378,0,705,367,0,0,0
20120228,Xfera,0,0,0,1,0,0,0,0
20120228,Wind,0,1,0,1,1,0,0,0
20120228,Vodafone - RO,0,0,0,1,0,0,0,0
20120228,Vodafone - CH,0,1,0,12,1,0,0,0
20120228,Vodafone - AU,0,0,0,1,0,0,0,0
20120228,Vodafone - AT,0,1,0,5,1,0,0,0
20120228,Vodafone,3,144,3,245,138,0,0,1
20120228,UNKNOWN,2,173,2,358,162,0,0,0
20120228,Telstra,0,1,0,1,1,0,0,0
20120228,Telekom,0,179,0,295,171,0,0,2
20120228,Telecom Italia Mobile (TIM),0,0,0,1,0,0,0,0
20120228,Tele2 Sverige AB,0,1,0,2,1,0,0,0
20120228,TDC Switzerland AG,0,2,0,5,2,0,0,0
20120228,T-Mobile - US,0,0,0,2,0,0,0,0
20120228,T-Mobile - PL,0,0,0,1,0,0,0,0
20120228,T-Mobile - MK,0,1,0,1,1,0,0,0
20120228,T-Mobile - AT,0,0,0,1,0,0,0,0
20120228,T-Mobile,0,0,0,1,0,0,0,0
20120228,Singtel,0,1,0,2,1,0,0,0
20120228,Saudi Telecom,0,1,0,1,1,0,0,0
20120228,SK Telecom,0,1,0,1,1,0,0,0
20120228,SI Mobil,0,0,0,1,0,0,0,0
20120228,Rogers Wireless,0,1,0,1,1,0,0,0
20120228,Plus GSM (Polkomtel S.A.),0,1,0,1,1,0,0,0
20120228,Pannon GSM,0,0,0,1,0,0,0,0
20120228,Otecel S.A. - Bellsouth,0,0,0,1,0,0,0,0
20120228,Orange Communications SA,0,1,0,2,1,0,0,0
20120228,Orange,0,3,0,4,2,0,0,0
20120228,O2 UK Ltd.,0,0,0,1,0,0,0,0
20120228,NTT DOCOMO,0,1,0,1,1,0,0,0
20120228,Movistar,0,0,0,1,0,0,0,0
20120228,MobileOne,0,0,0,2,0,0,0,0
20120228,Mobile Telesystems,0,2,0,2,2,0,0,0
20120228,Mobifone,0,0,0,1,0,0,0,0
20120228,Megafon,0,1,0,1,1,0,0,0
20120228,M-Tel GSM BG,0,1,0,2,1,0,0,0
20120228,KT,0,1,0,1,1,0,0,0
20120228,Hutchison 3G UK Ltd.,0,0,0,2,0,0,0,0
20120228,Hutchison 3G Austria,0,0,0,5,0,0,0,0
20120228,Hutchinson Max Telecom,0,1,0,1,1,0,0,0
20120228,H3G,0,1,0,1,1,0,0,0
20120228,Globul,0,1,0,1,1,0,0,0
20120228,Globe Telecom,0,1,0,1,1,0,0,0
20120228,GSM900/HKCSL,0,1,0,1,1,0,0,0
20120228,GSM1800/Peoples Telephone Company Ltd.,0,1,0,1,1,0,0,0
20120228,E-Plus Mobilfunk GmbH & Co. KG,1,140,1,255,132,0,0,1
20120228,Cosmote,0,0,0,2,0,0,0,0
20120228,China Mobile,0,3,0,4,3,0,0,0
20120228,Bouygues Telecom,0,1,0,1,1,0,0,0
20120228,Bell Mobility,0,0,0,1,0,0,0,0
20120228,BCP,0,0,0,1,0,0,0,0
20120228,Android Emulator,0,0,0,2,0,0,0,0
20120228,Amena,0,1,0,1,1,0,0,0
20120228,Aircel Ltd.,0,0,0,1,0,0,0,0
20120228,AT&T,0,0,0,1,0,0,0,0
20120227,unknown,0,0,0,4,0,0,0,0
20120227,o2,0,378,0,700,367,2,2,2
20120227,Xfera,0,0,0,1,0,0,0,0
