# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120228
# -------------------------------------------------------

date,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120228,7,1048,6,1952,1003,0,0,4
20120227,5,1046,4,1948,1000,4,4,6
20120226,5,1049,4,1945,1005,3,3,1
20120225,2,1047,1,1941,1005,0,0,1
20120224,10,1048,9,1941,1007,5,4,7
20120223,5,1043,3,1932,1004,2,2,3
20120222,8,1043,5,1930,1003,2,2,5
20120221,6,1045,3,1926,1005,1,1,3
20120220,9,1045,6,1924,1005,4,4,1
20120219,5,1043,2,1920,1003,1,0,5
20120218,6,1042,5,1919,1002,3,3,7
20120217,6,1042,5,1914,1001,3,2,4
20120216,5,1038,4,1911,997,5,4,6
20120215,8,1043,5,1908,1002,7,6,5
20120214,4,1046,4,1903,1006,2,2,3
20120213,1,1046,0,1899,1006,1,0,7
20120212,8,1045,7,1899,1004,2,2,11
20120211,11,1040,7,1892,998,2,2,11
20120210,9,1037,7,1886,997,3,3,10
20120209,9,1034,6,1879,994,8,7,12
20120208,5,1036,3,1874,993,1,1,10
20120207,4,1035,2,1871,994,2,2,18
20120206,10,1032,5,1868,992,3,2,14
20120205,8,1028,7,1864,991,9,8,23
20120204,8,1030,8,1858,994,4,3,30
20120203,5,1022,3,1849,986,2,2,29
20120202,6,1014,5,1846,977,1,1,21
20120201,6,1007,5,1840,970,5,5,52
20120131,11,1007,9,1835,970,3,2,57
20120130,14,1002,11,1826,967,5,5,105
20120129,3,992,2,1816,958,5,5,258
20120128,13,999,10,1815,963,3,2,106
20120127,12,994,11,1790,957,6,6,191
20120126,7,997,6,1779,957,6,6,108
20120125,15,1006,14,1773,963,10,9,16
20120124,10,995,8,1757,954,3,2,8
20120123,12,989,10,1749,949,3,3,18
20120122,8,984,8,1739,946,3,2,19
20120121,3,973,2,1729,933,2,2,11
20120120,14,974,10,1727,934,6,5,22
20120119,12,969,11,1717,933,10,10,44
20120118,10,967,8,1705,932,8,7,55
20120117,8,966,7,1697,932,8,8,106
20120116,12,969,12,1690,935,8,5,199
20120115,12,970,9,1678,930,4,2,142
20120114,8,962,6,1673,922,4,3,7
20120113,6,960,5,1667,919,5,5,5
20120112,9,961,5,1661,918,3,3,5
20120111,13,952,12,1655,914,5,5,9
20120110,9,943,7,1642,906,3,3,9
20120109,11,938,8,1634,901,6,5,7
20120108,15,936,13,1627,899,5,5,9
20120107,8,928,6,1614,893,4,4,5
20120106,6,924,5,1609,889,2,2,9
20120105,9,924,7,1605,887,4,4,12
20120104,8,920,7,1598,886,4,4,9
20120103,6,914,5,1591,880,1,1,8
20120102,3,910,1,1587,878,3,1,4
20120101,6,913,4,1586,882,3,3,8
20111231,2,911,1,1582,879,4,4,7
20111230,7,913,5,1582,882,4,4,5
20111229,10,911,8,1578,882,4,4,9
20111228,7,906,6,1572,878,5,5,9
20111227,5,905,5,1566,878,4,3,15
20111226,6,900,6,1560,872,3,2,17
20111225,7,897,7,1553,870,1,1,16
20111224,14,891,12,1547,865,1,0,28
20111223,6,873,2,1536,850,6,5,19
20111222,8,885,6,1535,862,4,2,22
20111221,8,882,6,1531,858,4,3,27
20111220,8,872,8,1526,851,5,5,30
20111219,10,869,9,1519,847,8,6,47
20111218,5,869,3,1510,847,4,3,86
20111217,8,870,7,1508,845,6,6,136
20111216,7,875,6,1500,851,5,4,141
20111215,10,884,10,1495,862,5,5,6
20111214,7,878,7,1486,857,3,3,9
20111213,5,878,5,1480,856,5,5,7
20111212,7,879,7,1476,854,8,8,7
20111211,10,882,10,1471,857,1,1,13
20111210,6,873,5,1461,848,3,3,9
20111209,6,872,5,1458,847,2,1,10
20111208,7,872,6,1454,845,3,3,16
20111207,8,867,6,1448,840,4,4,7
20111206,10,863,9,1443,836,4,4,18
20111205,8,860,6,1435,833,6,6,10
20111204,9,859,9,1430,833,7,6,17
20111203,5,855,5,1420,829,8,7,20
20111202,8,857,7,1415,831,7,6,19
20111201,12,859,11,1408,834,12,11,27
20111130,11,863,10,1398,839,8,8,56
20111129,13,859,10,1388,835,9,8,74
20111128,8,857,5,1381,834,5,4,132
20111127,4,864,4,1379,840,7,7,97
20111126,0,869,0,0,0,0,0,0
20111125,0,860,0,0,0,0,0,0
20111124,0,851,0,0,0,0,0,0
20111123,0,848,0,0,0,0,0,0
20111122,0,835,0,0,0,0,0,0
20111121,0,825,0,0,0,0,0,0
20111120,0,819,0,0,0,0,0,0
20111119,0,814,0,0,0,0,0,0
20111118,0,808,0,0,0,0,0,0
20111117,0,809,0,0,0,0,0,0
20111116,0,803,0,0,0,0,0,0
20111115,0,800,0,0,0,0,0,0
20111114,0,796,0,0,0,0,0,0
20111113,0,788,0,0,0,0,0,0
20111112,0,782,0,0,0,0,0,0
20111111,0,780,0,0,0,0,0,0
20111110,0,775,0,0,0,0,0,0
20111109,0,773,0,0,0,0,0,0
20111108,0,767,0,0,0,0,0,0
20111107,0,762,0,0,0,0,0,0
20111106,0,756,0,0,0,0,0,0
20111105,0,755,0,0,0,0,0,0
20111104,0,751,0,0,0,0,0,0
20111103,0,747,0,0,0,0,0,0
20111102,0,738,0,0,0,0,0,0
20111101,0,730,0,0,0,0,0,0
20111031,0,718,0,0,0,0,0,0
20111030,0,715,0,0,0,0,0,0
20111029,0,710,0,0,0,0,0,0
20111028,0,714,0,0,0,0,0,0
20111027,0,709,0,0,0,0,0,0
20111026,0,704,0,0,0,0,0,0
20111025,0,695,0,0,0,0,0,0
20111024,0,690,0,0,0,0,0,0
20111023,0,680,0,0,0,0,0,0
20111022,0,662,0,0,0,0,0,0
20111021,0,664,0,0,0,0,0,0
20111020,0,651,0,0,0,0,0,0
20111019,0,640,0,0,0,0,0,0
20111018,0,617,0,0,0,0,0,0
20111017,0,795,0,0,0,0,0,0
20111016,0,756,0,0,0,0,0,0
20111015,0,708,0,0,0,0,0,0
20111014,0,663,0,0,0,0,0,0
20111013,0,591,0,0,0,0,0,0
20111012,0,523,0,0,0,0,0,0
20111011,0,520,0,0,0,0,0,0
20111010,0,504,0,0,0,0,0,0
20111009,0,504,0,0,0,0,0,0
20111008,0,496,0,0,0,0,0,0
20111007,0,494,0,0,0,0,0,0
20111006,0,486,0,0,0,0,0,0
20111005,0,477,0,0,0,0,0,0
20111004,0,464,0,0,0,0,0,0
20111003,0,453,0,0,0,0,0,0
20111002,0,444,0,0,0,0,0,0
20111001,0,442,0,0,0,0,0,0
20110930,0,440,0,0,0,0,0,0
20110929,0,432,0,0,0,0,0,0
