# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120331
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120331,zeus,0,1,0,0,0,0,0,0
20120331,wwe10,0,0,0,1,0,0,0,0
20120331,Motorola XOOM,0,1,0,2,1,0,0,0
20120331,HTC Incredible S,0,8,0,15,8,0,0,0
20120331,HTC G2,0,16,0,27,15,1,1,0
20120331,victor,0,2,0,2,2,0,0,0
20120331,v350,0,0,0,1,0,0,0,0
20120331,unknown,0,0,0,3,0,0,0,0
20120331,univa_open-de,0,2,0,2,2,0,0,0
20120331,univa_222-01,0,1,0,1,1,0,0,0
20120331,umts_spyder,1,5,0,5,5,0,0,0
20120331,Motorola Droid,0,2,0,17,2,0,0,0
20120331,Motorola Flipout,0,2,0,5,2,0,0,0
20120331,Motorola Milestone2,0,2,0,4,2,0,0,1
20120331,Motorola Defy,0,42,0,72,39,0,0,0
20120331,Motorola XOOM,0,1,0,3,1,0,0,0
20120331,u8800,0,2,0,2,2,0,0,0
20120331,u8220,0,0,0,1,0,0,0,0
20120331,Toshiba AT100,0,1,0,1,1,0,0,0
20120331,LG Optimus One,0,6,0,14,6,0,0,0
20120331,tenderloin,0,5,0,7,4,0,0,0
20120331,LG Swift,0,2,0,4,2,0,0,0
20120331,LG Optimus 2X,0,1,0,1,1,0,0,0
20120331,Dell Streak 7,0,0,0,1,0,0,0,0
20120331,Dell Streak,0,0,0,2,0,0,0,0
20120331,Pantech Izar,0,0,0,1,0,0,0,0
20120331,skate,0,0,0,1,0,0,0,0
20120331,HTC Shooter,0,4,0,4,4,0,0,0
20120331,HTC myTouch 3G,0,3,0,3,2,0,0,0
20120331,HTC Desire S,0,63,0,93,63,0,0,0
20120331,HTC Sensation XL,0,2,0,2,2,0,0,0
20120331,rk29sdk,0,1,0,1,1,0,0,0
20120331,HTC Sensation 4G,0,53,0,89,51,0,0,0
20120331,Acer Picasso,0,6,0,7,3,0,0,0
20120331,LG Pecan,0,1,0,4,1,0,0,0
20120331,HTC Nexus One,0,11,0,28,9,0,0,0
20120331,p990_EUR-xx,0,1,0,2,1,0,0,0
20120331,p990_262-xx,0,0,0,2,0,0,0,0
20120331,p990_262-02,0,2,0,2,2,0,0,0
20120331,LG Optimus 2X,0,14,0,25,13,0,0,0
20120331,p920,0,1,0,2,1,0,0,0
20120331,p5,1,1,0,1,1,0,0,0
20120331,Samsung Galaxy Tab 10.1,0,1,0,1,1,0,0,0
20120331,Motorola Atrix,0,1,0,1,1,0,0,0
20120331,Sony Tablet S,0,2,0,5,2,0,0,0
20120331,msm7627_ffa,0,0,0,1,0,0,0,0
20120331,msm7230,0,2,0,2,2,0,0,0
20120331,msm7201a,0,1,0,1,1,0,0,0
20120331,morr,0,0,0,1,0,0,0,0
20120331,ZTE Racer,0,0,0,1,0,0,0,0
20120331,mione_plus,0,1,0,1,1,0,0,0
20120331,mercury,0,0,0,1,0,0,0,0
20120331,HTC Wildfire S,0,24,0,51,24,0,0,0
20120331,Samsung Galaxy Nexus,0,23,0,33,20,0,0,0
20120331,m801,0,2,0,3,2,0,0,0
20120331,Acer Liquid,0,0,0,1,0,0,0,0
20120331,HTC Aria,0,0,0,3,0,0,0,0
20120331,LG Optimus Black,0,9,0,12,9,0,0,0
20120331,leo,0,3,0,6,2,0,0,0
20120331,HTC Legend,0,5,0,11,5,0,0,0
20120331,laptop,0,0,0,1,0,0,0,0
20120331,Motorola Defy,0,1,0,4,1,0,0,0
20120331,Huawei U8510,0,11,0,19,11,0,0,0
20120331,Huawei V858,0,1,0,1,1,0,0,0
20120331,hws7300u,0,0,0,1,0,0,0,0
