# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120509
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120509,Android 2.3,0,0,0,1,0,0,0,0
20120509,Android 2.2,0,134,0,328,122,0,0,1
20120509,Android 2.1,0,34,0,111,33,0,0,1
20120509,Android 4.0.3 - 4.0.4,4,248,3,361,242,0,0,2
20120509,Android 4.0 - 4.0.2,0,2,0,14,2,0,0,1
20120509,Android 3.2,0,26,0,40,21,0,0,1
20120509,Android 3.1,0,9,0,12,6,0,0,0
20120509,Android 3.0,0,0,0,1,0,0,0,0
20120509,Android 2.3.3+,3,680,2,1393,656,2,1,6
20120509,0,0,0,0,12,0,0,0,0
20120508,Android 2.3,0,0,0,1,0,0,0,0
20120508,Android 2.2,2,134,1,328,122,1,1,4
20120508,Android 2.1,0,34,0,111,33,0,0,0
20120508,Android 4.0.3 - 4.0.4,2,246,2,358,240,0,0,2
20120508,Android 4.0 - 4.0.2,0,2,0,14,2,0,0,0
20120508,Android 3.2,0,26,0,40,21,0,0,1
20120508,Android 3.1,0,9,0,12,6,0,0,0
20120508,Android 3.0,0,0,0,1,0,0,0,0
20120508,Android 2.3.3+,1,682,1,1391,657,7,7,1
20120508,0,0,0,0,11,0,0,0,0
20120507,Android 2.3,0,0,0,1,0,0,0,0
20120507,Android 2.2,0,133,0,326,121,1,1,4
20120507,Android 2.1,0,34,0,111,33,1,1,1
20120507,Android 4.0.3 - 4.0.4,2,244,1,355,238,0,0,2
20120507,Android 4.0 - 4.0.2,0,2,0,14,2,1,1,0
20120507,Android 3.2,0,26,0,40,21,0,0,0
20120507,Android 3.1,0,9,0,12,6,0,0,0
20120507,Android 3.0,0,0,0,1,0,0,0,0
20120507,Android 2.3.3+,5,687,4,1391,663,4,4,13
20120507,0,0,0,0,11,0,0,0,0
20120506,Android 2.3,0,0,0,1,0,0,0,0
20120506,Android 2.2,0,134,0,326,122,1,1,1
20120506,Android 2.1,0,35,0,111,34,0,0,0
20120506,Android 4.0.3 - 4.0.4,1,241,0,351,235,0,0,4
20120506,Android 4.0 - 4.0.2,0,4,0,14,3,0,0,0
20120506,Android 3.2,0,27,0,41,22,0,0,0
20120506,Android 3.1,0,9,0,12,6,0,0,0
20120506,Android 3.0,0,0,0,1,0,0,0,0
20120506,Android 2.3.3+,2,685,2,1389,662,3,3,11
20120506,0,0,0,0,11,0,0,0,0
20120505,Android 2.3,0,0,0,1,0,0,0,0
20120505,Android 2.2,1,135,1,326,123,1,1,1
20120505,Android 2.1,0,34,0,111,33,0,0,0
20120505,Android 4.0.3 - 4.0.4,1,241,1,348,234,0,0,6
20120505,Android 4.0 - 4.0.2,0,4,0,14,3,0,0,0
20120505,Android 3.2,0,27,0,41,22,0,0,0
20120505,Android 3.1,0,9,0,12,6,0,0,0
20120505,Android 3.0,0,0,0,1,0,0,0,0
20120505,Android 2.3.3+,2,685,1,1391,662,2,2,15
20120505,0,0,0,0,10,0,0,0,0
20120504,Android 2.3,0,0,0,1,0,0,0,0
20120504,Android 2.2,1,135,1,325,123,0,0,0
20120504,Android 2.1,0,34,0,111,33,0,0,0
20120504,Android 4.0.3 - 4.0.4,1,240,1,347,234,0,0,12
20120504,Android 4.0 - 4.0.2,0,3,0,13,2,0,0,0
20120504,Android 3.2,0,27,0,41,21,0,0,1
20120504,Android 3.1,0,9,0,12,6,0,0,0
20120504,Android 3.0,0,0,0,1,0,0,0,0
20120504,Android 2.3.3+,3,687,2,1390,664,4,4,17
20120504,0,0,0,0,10,0,0,0,0
20120503,Android 2.3,0,0,0,1,0,0,0,0
20120503,Android 2.2,1,134,1,325,122,0,0,4
20120503,Android 2.1,0,34,0,111,33,0,0,0
20120503,Android 4.0.3 - 4.0.4,3,238,1,346,232,0,0,11
20120503,Android 4.0 - 4.0.2,0,3,0,13,2,0,0,0
20120503,Android 3.2,1,28,1,42,22,0,0,2
20120503,Android 3.1,0,9,0,12,6,0,0,0
20120503,Android 3.0,0,0,0,1,0,0,0,0
20120503,Android 2.3.3+,3,687,3,1386,664,2,2,25
20120503,0,0,0,0,8,0,0,0,0
20120502,Android 2.3,0,0,0,1,0,0,0,0
20120502,Android 2.2,2,133,2,325,120,1,1,5
20120502,Android 2.1,0,34,0,111,33,2,2,1
20120502,Android 4.0.3 - 4.0.4,4,234,1,341,227,2,1,14
20120502,Android 4.0 - 4.0.2,0,3,0,13,2,0,0,0
20120502,Android 3.2,0,27,0,41,20,1,1,2
20120502,Android 3.1,1,9,1,12,6,0,0,0
20120502,Android 3.0,0,0,0,1,0,0,0,0
20120502,Android 2.3.3+,5,690,3,1387,668,4,4,39
20120502,0,0,0,0,7,0,0,0,0
20120501,Android 2.3,0,0,0,1,0,0,0,0
20120501,Android 2.2,0,132,0,323,119,0,0,4
20120501,Android 2.1,0,36,0,111,35,1,1,1
20120501,Android 4.0.3 - 4.0.4,2,230,1,333,225,0,0,23
