# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120708
# -------------------------------------------------------

date,device,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120708,Motorola XOOM (wifi_hubble),0,2,0,3,2,0,0,0
20120708,HTC Incredible 2 (vivow),0,1,0,0,0,0,0,0
20120708,HTC Incredible S (vivo),0,7,0,18,7,0,0,0
20120708,HTC G2 (vision),0,22,0,37,21,0,0,0
20120708,HTC One S (ville),0,9,0,13,9,0,0,0
20120708,victor,0,1,0,2,1,0,0,0
20120708,v350,0,0,0,1,0,0,0,0
20120708,unknown,0,0,0,59,0,0,0,0
20120708,univa_open-de,0,1,0,2,1,0,0,0
20120708,univa_222-01,0,0,0,1,0,0,0,0
20120708,Motorola Droid RAZR (umts_spyder),0,5,0,7,5,0,0,0
20120708,Motorola Droid (umts_sholes),0,0,0,17,0,0,0,0
20120708,Motorola Flipout (umts_ruth),0,2,0,4,2,0,0,0
20120708,Motorola Milestone2 (umts_milestone2),0,2,0,5,2,0,0,0
20120708,Motorola Defy (umts_jordan),0,41,0,81,38,0,0,0
20120708,Motorola XOOM (umts_everest),0,2,0,2,2,0,0,0
20120708,u8800,0,0,0,2,0,0,0,0
20120708,u8220,0,0,0,1,0,0,0,0
20120708,u0,0,1,0,1,1,0,0,0
20120708,Toshiba AT100 (tostab03),0,1,0,1,1,0,0,0
20120708,LG Optimus One (thunderg),0,5,0,14,5,0,0,0
20120708,tenderloin,0,3,0,6,2,0,0,0
20120708,LG Swift (swift),0,1,0,5,1,0,0,0
20120708,LG Optimus 2X (su660),0,1,0,1,1,0,0,0
20120708,Dell Streak 7 (streak7),0,0,0,1,0,0,0,0
20120708,Dell Streak (streak),0,0,0,1,0,0,0,0
20120708,Pantech Izar (sp33k),0,0,0,1,0,0,0,0
20120708,skate,0,0,0,1,0,0,0,0
20120708,HTC Shooter (shooteru),0,6,0,10,6,0,0,0
20120708,Motorola Motoroi (sholest),0,1,0,1,1,0,0,0
20120708,HTC myTouch 3G (sapphire),0,3,0,4,2,0,0,0
20120708,HTC Desire S (saga),0,65,0,109,65,0,0,0
20120708,HTC Sensation XL (runnymede),0,2,0,2,2,0,0,0
20120708,rk29sdk,0,1,0,1,1,0,0,0
20120708,qsd8k_s7,0,1,0,1,1,0,0,0
20120708,HTC Sensation 4G (pyramid),1,50,1,98,48,0,0,0
20120708,primou,0,1,0,2,1,0,0,0
20120708,picasso_m,0,1,0,1,1,0,0,0
20120708,picasso_e,0,1,0,1,1,0,0,0
20120708,Acer Picasso (picasso),0,6,0,8,4,0,0,0
20120708,LG Pecan (pecan),0,0,0,3,0,0,0,0
20120708,HTC Nexus One (passion),2,13,1,32,8,0,0,0
20120708,p990_EUR-xx,0,1,0,2,1,0,0,0
20120708,p990_262-xx,0,1,0,3,1,0,0,0
20120708,p990_262-02,0,3,0,4,3,0,0,0
20120708,LG Optimus 2X (p990),0,14,0,24,12,0,0,0
20120708,p920,0,1,0,2,1,0,0,0
20120708,p5,0,0,0,1,0,0,0,0
20120708,Samsung Galaxy Tab 10.1 (p3),0,1,0,1,1,0,0,0
20120708,Motorola Atrix (olympus),0,1,0,1,1,0,0,0
20120708,Sony Tablet S (nbx03),0,3,0,7,3,0,0,0
20120708,msm7230,0,2,0,2,2,0,0,0
20120708,msm7201a,0,1,0,0,0,0,0,0
20120708,morr,0,0,0,1,0,0,0,0
20120708,ZTE Racer (mooncake),0,0,0,1,0,0,0,0
20120708,mione_plus,0,1,0,1,1,0,0,0
