# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20120708
# -------------------------------------------------------

date,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20120708,5,1159,3,2484,1095,2,2,1
20120707,3,1161,3,2481,1096,5,4,1
20120706,12,1162,5,2477,1098,3,2,1
20120705,5,1158,4,2472,1096,4,4,0
20120704,6,1156,5,2468,1094,2,2,2
20120703,7,1150,1,2462,1088,1,1,0
20120702,9,1151,3,2461,1092,2,2,0
20120701,2,1150,1,2458,1090,1,1,2
20120630,6,1151,2,2457,1090,4,3,0
20120629,9,1153,7,2455,1094,3,3,2
20120628,10,1150,6,2448,1090,4,2,1
20120627,10,1146,2,2440,1087,4,3,0
20120626,6,1142,1,2437,1084,5,3,4
20120625,4,1147,3,2436,1092,0,0,3
20120624,5,1145,3,2433,1090,3,0,0
20120623,3,1146,2,2429,1089,2,2,3
20120622,4,1149,0,2427,1091,0,0,1
20120621,7,1152,3,2427,1094,1,1,4
20120620,7,1151,2,2424,1095,1,1,0
20120619,8,1148,4,2422,1093,11,10,3
20120618,9,1156,6,2418,1100,2,1,1
20120617,10,1154,4,2412,1098,5,5,1
20120616,8,1154,5,2408,1100,1,1,0
20120615,5,1151,3,2403,1097,3,3,1
20120614,5,1153,4,2400,1098,6,6,2
20120613,4,1158,4,2396,1103,2,1,0
20120612,5,1157,1,2392,1102,1,1,2
20120611,11,1155,7,2390,1099,2,2,1
20120610,3,1151,2,2383,1097,4,2,3
20120609,4,1156,3,2381,1101,0,0,1
20120608,3,1154,3,2378,1100,2,2,1
20120607,4,1153,3,2374,1099,2,1,2
20120606,3,1151,3,2371,1097,5,5,2
20120605,4,1154,0,2368,1100,1,1,1
20120604,7,1153,4,2367,1099,4,4,2
20120603,8,1151,4,2363,1096,4,4,3
20120602,5,1152,3,2359,1098,4,4,6
20120601,11,1149,4,2356,1095,6,3,3
20120531,2,1152,1,2351,1100,3,3,2
20120530,9,1156,6,2350,1104,3,3,2
20120529,4,1150,2,2344,1101,2,2,3
20120528,3,1153,2,2342,1104,1,1,0
20120527,5,1152,3,2340,1104,3,3,4
20120526,3,1150,1,2336,1102,5,3,4
20120525,0,1156,0,2335,1108,0,0,3
20120524,4,1156,4,2334,1108,4,3,0
20120523,8,1157,6,2330,1107,4,3,2
20120522,5,1151,3,2323,1101,3,2,4
20120521,11,1148,8,2318,1097,5,3,3
20120520,3,1142,1,2310,1091,3,3,4
20120519,3,1142,2,2308,1091,2,2,4
20120518,4,1141,3,2306,1091,1,1,3
20120517,4,1139,2,2303,1089,1,1,4
20120516,6,1139,3,2301,1089,2,1,5
20120515,7,1136,5,2298,1085,5,4,1
20120514,11,1134,8,2292,1085,4,2,10
20120513,6,1125,2,2284,1076,4,4,8
20120512,4,1127,2,2282,1078,3,3,8
20120511,3,1129,2,2278,1079,3,3,6
20120510,4,1129,3,2276,1079,5,5,4
20120509,7,1133,5,2273,1082,2,1,12
20120508,5,1133,4,2267,1081,8,8,8
20120507,7,1135,5,2262,1084,7,7,20
20120506,3,1135,2,2257,1084,4,4,16
20120505,4,1135,3,2255,1083,3,3,22
20120504,5,1135,4,2251,1083,4,4,30
20120503,8,1133,6,2245,1081,2,2,42
20120502,12,1130,7,2239,1076,10,9,61
20120501,7,1133,5,2232,1081,2,2,100
20120430,17,1127,13,2226,1074,8,7,245
20120429,7,1122,3,2212,1071,6,6,89
20120428,6,1129,2,2209,1078,3,3,9
20120427,13,1132,8,2207,1082,4,4,7
20120426,9,1123,5,2199,1075,6,6,11
20120425,11,1125,8,2194,1076,3,2,12
20120424,9,1120,8,2186,1069,13,12,17
20120423,12,1124,9,2178,1072,7,7,23
20120422,9,1119,6,2169,1068,5,4,28
20120421,6,1118,4,2161,1066,2,2,46
20120420,12,1117,9,2157,1062,7,6,56
20120419,12,1109,6,2146,1054,6,5,84
20120418,12,1105,8,2137,1050,4,4,279
20120417,17,1101,10,2128,1044,6,6,41
20120416,12,1091,8,2116,1036,3,3,4
20120415,15,1085,6,2108,1029,3,3,1
20120414,9,1075,5,2102,1018,4,4,1
20120413,7,1070,5,2097,1014,7,7,1
20120412,12,1074,3,2092,1019,4,4,1
20120411,6,1070,4,2089,1016,5,4,0
20120410,4,1070,1,2085,1016,8,7,1
20120409,6,1075,3,2084,1023,4,4,1
20120408,3,1076,0,2080,1023,3,3,2
20120407,3,1080,2,2080,1028,1,1,0
20120406,6,1079,5,2078,1027,0,0,1
20120405,11,1071,5,2072,1019,8,8,2
20120404,7,1068,4,2067,1019,4,4,0
20120403,8,1068,4,2063,1019,5,5,5
20120402,7,1066,3,2059,1017,9,6,0
20120401,4,1068,1,2055,1019,3,3,0
20120331,2,1071,0,2054,1022,3,3,1
20120330,6,1075,4,2054,1026,3,3,3
20120329,6,1073,2,2050,1023,4,4,1
20120328,4,1073,3,2048,1024,3,3,1
20120327,6,1073,2,2045,1024,4,4,1
20120326,9,1068,5,2042,1022,5,3,0
20120325,5,1064,2,2036,1017,8,7,1
20120324,3,1066,2,2034,1020,2,2,1
20120323,4,1062,3,2031,1017,3,3,3
20120322,5,1061,3,2026,1015,7,6,2
20120321,7,1065,6,2023,1020,5,5,0
20120320,2,1063,1,2017,1018,4,2,1
20120319,6,1063,4,2016,1017,3,3,1
20120318,6,1059,4,2012,1012,1,1,2
20120317,3,1055,2,2008,1008,2,2,3
20120316,2,1059,1,2005,1012,1,1,1
20120315,4,1058,3,2004,1006,0,0,3
20120314,6,1056,2,2001,1003,5,4,3
20120313,3,1055,3,1999,1004,2,2,1
20120312,5,1060,4,1996,1007,5,3,3
20120311,9,1063,8,1994,1009,2,2,2
20120310,4,1060,2,1986,1007,2,2,1
20120309,6,1059,6,1985,1007,3,3,2
20120308,4,1059,4,1981,1007,2,2,2
20120307,5,1055,3,1978,1004,3,3,2
20120306,6,1057,5,1975,1007,1,1,6
20120305,2,1051,1,1969,1003,5,4,3
20120304,6,1055,4,1969,1008,4,4,6
20120303,6,1057,5,1966,1009,4,4,2
20120302,4,1057,2,1961,1008,1,1,4
20120301,4,1055,3,1960,1008,3,3,6
20120229,7,1055,6,1957,1009,1,1,2
20120228,7,1048,6,1952,1003,0,0,4
20120227,5,1046,4,1948,1000,4,4,6
20120226,5,1049,4,1945,1005,3,3,1
20120225,2,1047,1,1941,1005,0,0,1
20120224,10,1048,9,1941,1007,5,4,7
20120223,5,1043,3,1932,1004,2,2,3
20120222,8,1043,5,1930,1003,2,2,5
20120221,6,1045,3,1926,1005,1,1,3
20120220,9,1045,6,1924,1005,4,4,1
20120219,5,1043,2,1920,1003,1,0,5
20120218,6,1042,5,1919,1002,3,3,7
20120217,6,1042,5,1914,1001,3,2,4
20120216,5,1038,4,1911,997,5,4,6
20120215,8,1043,5,1908,1002,7,6,5
20120214,4,1046,4,1903,1006,2,2,3
20120213,1,1046,0,1899,1006,1,0,7
20120212,8,1045,7,1899,1004,2,2,11
20120211,11,1040,7,1892,998,2,2,11
20120210,9,1037,7,1886,997,3,3,10
20120209,9,1034,6,1879,994,8,7,12
20120208,5,1036,3,1874,993,1,1,10
20120207,4,1035,2,1871,994,2,2,18
20120206,10,1032,5,1868,992,3,2,14
20120205,8,1028,7,1864,991,9,8,23
20120204,8,1030,8,1858,994,4,3,30
20120203,5,1022,3,1849,986,2,2,29
20120202,6,1014,5,1846,977,1,1,21
20120201,6,1007,5,1840,970,5,5,52
20120131,11,1007,9,1835,970,3,2,57
20120130,14,1002,11,1826,967,5,5,105
20120129,3,992,2,1816,958,5,5,258
20120128,13,999,10,1815,963,3,2,106
20120127,12,994,11,1790,957,6,6,191
20120126,7,997,6,1779,957,6,6,108
20120125,15,1006,14,1773,963,10,9,16
20120124,10,995,8,1757,954,3,2,8
20120123,12,989,10,1749,949,3,3,18
20120122,8,984,8,1739,946,3,2,19
20120121,3,973,2,1729,933,2,2,11
20120120,14,974,10,1727,934,6,5,22
20120119,12,969,11,1717,933,10,10,44
20120118,10,967,8,1705,932,8,7,55
20120117,8,966,7,1697,932,8,8,106
20120116,12,969,12,1690,935,8,5,199
20120115,12,970,9,1678,930,4,2,142
20120114,8,962,6,1673,922,4,3,7
20120113,6,960,5,1667,919,5,5,5
20120112,9,961,5,1661,918,3,3,5
20120111,13,952,12,1655,914,5,5,9
20120110,9,943,7,1642,906,3,3,9
20120109,11,938,8,1634,901,6,5,7
20120108,15,936,13,1627,899,5,5,9
20120107,8,928,6,1614,893,4,4,5
20120106,6,924,5,1609,889,2,2,9
20120105,9,924,7,1605,887,4,4,12
20120104,8,920,7,1598,886,4,4,9
20120103,6,914,5,1591,880,1,1,8
20120102,3,910,1,1587,878,3,1,4
20120101,6,913,4,1586,882,3,3,8
20111231,2,911,1,1582,879,4,4,7
20111230,7,913,5,1582,882,4,4,5
20111229,10,911,8,1578,882,4,4,9
20111228,7,906,6,1572,878,5,5,9
20111227,5,905,5,1566,878,4,3,15
20111226,6,900,6,1560,872,3,2,17
20111225,7,897,7,1553,870,1,1,16
20111224,14,891,12,1547,865,1,0,28
20111223,6,873,2,1536,850,6,5,19
20111222,8,885,6,1535,862,4,2,22
20111221,8,882,6,1531,858,4,3,27
20111220,8,872,8,1526,851,5,5,30
20111219,10,869,9,1519,847,8,6,47
20111218,5,869,3,1510,847,4,3,86
20111217,8,870,7,1508,845,6,6,136
20111216,7,875,6,1500,851,5,4,141
20111215,10,884,10,1495,862,5,5,6
20111214,7,878,7,1486,857,3,3,9
20111213,5,878,5,1480,856,5,5,7
20111212,7,879,7,1476,854,8,8,7
20111211,10,882,10,1471,857,1,1,13
