# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20121012
# -------------------------------------------------------

date,app_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20121012,9,0,24,0,230,22,0,0,0
20121012,8,0,13,0,106,13,0,0,0
20121012,7,0,0,0,4,0,0,0,0
20121012,6,0,11,0,197,10,0,0,0
20121012,5,0,0,0,27,0,0,0,0
20121012,4,0,1,0,36,1,0,0,0
20121012,2,0,1,0,20,1,0,0,0
20121012,19,23,1265,23,1767,1226,6,6,1
20121012,16,0,14,0,80,12,0,0,0
20121012,15,0,43,0,308,33,0,0,0
20121012,14,0,2,0,13,2,0,0,0
20121012,13,0,8,0,76,7,0,0,0
20121012,12,0,0,0,2,0,0,0,0
20121012,11,0,28,0,139,23,0,0,0
20121012,10,0,8,0,91,7,0,0,0
20121011,9,0,24,0,230,22,0,0,0
20121011,8,0,13,0,106,13,0,0,0
20121011,7,0,0,0,4,0,0,0,0
20121011,6,0,11,0,197,10,0,0,0
20121011,5,0,0,0,27,0,0,0,0
20121011,4,0,1,0,36,1,0,0,0
20121011,2,0,1,0,20,1,0,0,0
20121011,19,20,1249,15,1742,1209,4,4,0
20121011,16,0,15,0,81,13,0,0,0
20121011,15,0,44,0,309,34,0,0,0
20121011,14,0,2,0,13,2,0,0,0
20121011,13,0,8,0,76,7,0,0,0
20121011,12,0,0,0,2,0,0,0,0
20121011,11,0,28,0,139,23,0,0,0
20121011,10,0,8,0,91,7,0,0,0
20121010,9,0,24,0,230,22,0,0,0
20121010,8,0,13,0,106,13,0,0,0
20121010,7,0,0,0,4,0,0,0,0
20121010,6,0,11,0,197,10,0,0,0
20121010,5,0,0,0,27,0,0,0,0
20121010,4,0,1,0,36,1,0,0,0
20121010,2,0,1,0,20,1,0,0,0
20121010,19,19,1234,15,1725,1194,3,3,0
20121010,16,0,15,0,81,13,0,0,0
20121010,15,0,44,0,309,34,0,0,0
20121010,14,0,2,0,13,2,0,0,0
20121010,13,0,8,0,76,7,0,0,0
20121010,12,0,0,0,2,0,0,0,0
20121010,11,0,28,0,140,23,0,0,0
20121010,10,0,8,0,91,7,0,0,0
20121009,9,0,24,0,230,22,0,0,0
20121009,8,0,13,0,106,13,0,0,0
20121009,7,0,0,0,4,0,0,0,0
20121009,6,0,11,0,197,10,0,0,0
20121009,5,0,0,0,27,0,0,0,0
20121009,4,0,1,0,36,1,0,0,0
20121009,2,0,1,0,20,1,0,0,0
20121009,19,28,1220,24,1710,1181,6,5,2
20121009,16,0,15,0,81,13,0,0,0
20121009,15,0,44,0,309,34,0,0,0
20121009,14,0,2,0,13,2,0,0,0
20121009,13,0,8,0,76,7,0,0,0
20121009,12,0,0,0,2,0,0,0,0
20121009,11,0,29,0,140,23,0,0,0
20121009,10,0,8,0,91,7,0,0,0
