# -------------------------------------------------------
# App: de.tum.in.tumcampus, date: 20110713-20121012
# -------------------------------------------------------

date,os_version,daily_device_installs,active_device_installs,daily_user_installs,total_user_installs,active_user_installs,daily_device_uninstalls,daily_user_uninstalls,daily_device_upgrades
20121012,Android 2.3,0,2,0,2,2,0,0,0
20121012,Android 2.2,0,112,0,296,107,0,0,0
20121012,Android 2.1,1,31,1,112,30,0,0,0
20121012,Android 4.1,2,127,2,168,121,1,1,0
20121012,Android 4.0.3 - 4.0.4,10,512,10,866,494,3,3,0
20121012,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121012,Android 3.2,0,18,0,32,13,0,0,0
20121012,Android 3.1,0,5,0,6,4,0,0,0
20121012,Android 3.0,0,0,0,1,0,0,0,0
20121012,Android 2.3.3 - 2.3.7,10,611,10,1361,586,2,2,1
20121012,0,0,0,0,244,0,0,0,0
20121011,Android 2.3,0,2,0,2,2,0,0,0
20121011,Android 2.2,0,112,0,296,107,0,0,0
20121011,Android 2.1,0,30,0,111,29,0,0,0
20121011,Android 4.1,1,126,0,165,120,0,0,0
20121011,Android 4.0.3 - 4.0.4,13,505,11,856,487,3,3,0
20121011,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121011,Android 3.2,0,18,0,32,13,0,0,0
20121011,Android 3.1,0,5,0,6,4,0,0,0
20121011,Android 3.0,0,0,0,1,0,0,0,0
20121011,Android 2.3.3 - 2.3.7,6,606,4,1354,580,1,1,0
20121011,0,0,0,0,242,0,0,0,0
20121010,Android 2.3,0,2,0,2,2,0,0,0
20121010,Android 2.2,2,112,2,296,107,0,0,0
20121010,Android 2.1,1,30,1,111,29,0,0,0
20121010,Android 4.1,2,126,1,165,120,1,1,0
20121010,Android 4.0.3 - 4.0.4,6,493,4,843,476,0,0,0
20121010,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121010,Android 3.2,0,18,0,32,13,0,0,0
20121010,Android 3.1,0,5,0,6,4,0,0,0
20121010,Android 3.0,0,0,0,1,0,0,0,0
20121010,Android 2.3.3 - 2.3.7,8,603,7,1351,576,2,2,0
20121010,0,0,0,0,242,0,0,0,0
20121009,Android 2.3,0,2,0,2,2,0,0,0
20121009,Android 2.2,1,110,1,295,105,0,0,0
20121009,Android 2.1,0,29,0,110,28,0,0,0
20121009,Android 4.1,2,125,2,164,120,0,0,0
20121009,Android 4.0.3 - 4.0.4,12,485,9,835,468,2,2,0
20121009,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121009,Android 3.2,0,18,0,32,13,0,0,0
20121009,Android 3.1,0,5,0,6,4,0,0,0
20121009,Android 3.0,0,0,0,1,0,0,0,0
20121009,Android 2.3.3 - 2.3.7,13,602,12,1351,574,4,3,2
20121009,0,0,0,0,238,0,0,0,0
20121008,Android 2.3,0,2,0,2,2,0,0,0
20121008,Android 2.2,0,110,0,296,106,0,0,0
20121008,Android 2.1,0,29,0,110,28,0,0,0
20121008,Android 4.1,2,122,0,162,117,2,2,0
20121008,Android 4.0.3 - 4.0.4,7,475,4,823,458,1,1,0
20121008,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121008,Android 3.2,0,18,0,33,13,0,0,0
20121008,Android 3.1,0,5,0,6,4,0,0,0
20121008,Android 3.0,0,0,0,1,0,0,0,0
20121008,Android 2.3.3 - 2.3.7,5,593,5,1342,567,1,1,1
20121008,0,0,0,0,234,0,0,0,0
20121007,Android 2.3,0,2,0,2,2,0,0,0
20121007,Android 2.2,0,111,0,299,106,0,0,0
20121007,Android 2.1,1,30,1,113,29,0,0,0
20121007,Android 4.1,1,122,1,161,117,0,0,0
20121007,Android 4.0.3 - 4.0.4,6,469,6,816,453,1,1,0
20121007,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121007,Android 3.2,0,18,0,34,13,0,0,0
20121007,Android 3.1,0,5,0,6,4,0,0,0
20121007,Android 3.0,0,0,0,1,0,0,0,0
20121007,Android 2.3.3 - 2.3.7,4,592,3,1341,567,4,4,0
20121007,0,0,0,0,227,0,0,0,0
20121006,Android 2.3,0,2,0,2,2,0,0,0
20121006,Android 2.2,0,111,0,299,106,0,0,0
20121006,Android 2.1,0,29,0,112,28,0,0,0
20121006,Android 4.1,2,122,1,160,117,0,0,0
20121006,Android 4.0.3 - 4.0.4,3,465,1,810,449,1,1,0
20121006,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121006,Android 3.2,0,18,0,34,13,0,0,0
20121006,Android 3.1,0,5,0,6,4,0,0,0
20121006,Android 3.0,0,0,0,1,0,0,0,0
20121006,Android 2.3.3 - 2.3.7,2,594,2,1338,569,3,2,0
20121006,0,0,0,0,227,0,0,0,0
20121005,Android 2.3,0,2,0,2,2,0,0,0
20121005,Android 2.2,0,111,0,299,106,0,0,0
20121005,Android 2.1,0,29,0,112,28,0,0,0
20121005,Android 4.1,5,118,2,157,113,0,0,0
20121005,Android 4.0.3 - 4.0.4,5,468,5,811,452,3,3,0
20121005,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121005,Android 3.2,0,18,0,34,13,0,0,0
20121005,Android 3.1,0,5,0,6,4,0,0,0
20121005,Android 3.0,0,0,0,1,0,0,0,0
20121005,Android 2.3.3 - 2.3.7,2,596,2,1337,570,0,0,0
20121005,0,0,0,0,226,0,0,0,0
20121004,Android 2.3,0,2,0,2,2,0,0,0
20121004,Android 2.2,2,111,2,299,106,1,1,0
20121004,Android 2.1,0,29,0,112,28,0,0,0
20121004,Android 4.1,2,114,1,152,109,1,1,0
20121004,Android 4.0.3 - 4.0.4,13,467,11,808,451,2,2,0
20121004,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121004,Android 3.2,0,18,0,34,13,0,0,0
20121004,Android 3.1,0,5,0,6,4,0,0,0
20121004,Android 3.0,0,0,0,1,0,0,0,0
20121004,Android 2.3.3 - 2.3.7,4,595,4,1336,570,1,1,1
20121004,0,0,0,0,226,0,0,0,0
20121003,Android 2.3,0,2,0,2,2,0,0,0
20121003,Android 2.2,0,110,0,297,105,0,0,0
20121003,Android 2.1,0,30,0,112,29,0,0,0
20121003,Android 4.1,4,112,1,149,107,0,0,0
20121003,Android 4.0.3 - 4.0.4,8,458,7,798,442,1,1,0
20121003,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121003,Android 3.2,0,18,0,34,13,0,0,0
20121003,Android 3.1,0,5,0,6,4,0,0,0
20121003,Android 3.0,0,0,0,1,0,0,0,0
20121003,Android 2.3.3 - 2.3.7,5,591,5,1333,566,2,2,0
20121003,0,0,0,0,226,0,0,0,0
20121002,Android 2.3,0,2,0,2,2,0,0,0
20121002,Android 2.2,1,110,1,297,105,0,0,0
20121002,Android 2.1,0,30,0,112,29,0,0,0
20121002,Android 4.1,5,110,2,146,104,0,0,0
20121002,Android 4.0.3 - 4.0.4,5,453,3,792,436,1,1,0
20121002,Android 4.0 - 4.0.2,0,0,0,8,0,0,0,0
20121002,Android 3.2,0,18,0,34,13,0,0,0
20121002,Android 3.1,0,5,0,6,4,0,0,0
20121002,Android 3.0,0,0,0,1,0,0,0,0
20121002,Android 2.3.3 - 2.3.7,9,586,7,1328,561,1,1,0
20121002,0,0,0,0,226,0,0,0,0
20121001,Android 2.3,0,2,0,2,2,0,0,0
20121001,Android 2.2,1,109,1,296,104,0,0,0
20121001,Android 2.1,0,30,0,112,29,0,0,0
20121001,Android 4.1,5,106,3,143,100,1,1,0
20121001,Android 4.0.3 - 4.0.4,10,454,7,790,438,1,1,0
20121001,Android 4.0 - 4.0.2,0,0,0,9,0,0,0,0
20121001,Android 3.2,0,18,0,34,13,0,0,0
20121001,Android 3.1,0,5,0,6,4,0,0,0
20121001,Android 3.0,0,0,0,1,0,0,0,0
20121001,Android 2.3.3 - 2.3.7,11,578,11,1321,553,1,0,0
20121001,0,0,0,0,225,0,0,0,0
20120930,Android 2.3,0,2,0,2,2,0,0,0
20120930,Android 2.2,0,108,0,297,103,0,0,0
20120930,Android 2.1,0,30,0,112,29,0,0,0
20120930,Android 4.1,5,104,3,139,99,1,1,0
20120930,Android 4.0.3 - 4.0.4,6,448,4,784,433,0,0,0
